time,freemem@tsung_controller@ip-172-31-58-109 
0,670.1875 
10,671.859375 
20,672.1484375 
30,672.1484375 
40,672.1484375 
50,672.1484375 
60,672.1484375 
70,672.1484375 
80,672.1484375 
90,672.1484375 
100,672.1484375 
110,672.1484375 
120,672.1484375 
130,672.1484375 
140,672.1484375 
150,672.1484375 
160,672.1484375 
170,672.1484375 
180,672.1484375 
190,672.1484375 
200,672.1484375 
210,672.1484375 
220,672.1484375 
230,672.1484375 
240,672.1484375 
250,672.1484375 
260,672.1484375 
270,672.1484375 
280,672.1484375 
290,672.1484375 
300,672.1484375 
