time,connect,request 
0,1.158,24.543 
10,1.158,24.543 
20,1.158,23.816 
30,1.158,23.816 
40,1.158,23.608 
50,1.129,23.042 
60,1.129,21.969 
70,1.051,21.969 
80,1.051,21.969 
90,1.051,21.969 
100,1.051,20.899 
110,1.017,20.899 
120,1.017,20.899 
130,0.982,20.899 
140,0.948,20.899 
150,0.936,20.899 
160,0.936,20.761 
170,0.915,20.761 
180,0.915,20.161 
190,0.915,20.161 
200,0.863,20.161 
210,0.852,20.161 
220,0.765,1.61 
230,0.765,1.561 
240,0.75,1.486 
250,0.717,1.401 
260,0.717,1.401 
270,0.717,1.401 
