time,freemem@tsung_controller@ip-172-31-36-55 
0,689.60546875 
10,691.33984375 
20,691.1328125 
30,691.625 
40,691.1171875 
50,691.015625 
60,691.015625 
70,690.8984375 
80,690.8984375 
90,688.41015625 
100,688.4453125 
110,688.015625 
120,688.62109375 
130,688.7421875 
140,687.421875 
150,688.96484375 
160,688.34375 
170,686.4140625 
180,686.28515625 
190,685.80859375 
200,686.28125 
210,685.92578125 
220,682.7578125 
230,675.60546875 
240,674.4921875 
250,672.90625 
260,673.12109375 
270,671.734375 
