time,page 
0,54.508555555555546 
10,41.955888888888886 
20,43.101857142857135 
30,43.72239999999999 
40,41.26109090909091 
50,41.2084761904762 
60,43.25802631578948 
70,43.43180555555554 
80,42.700108695652155 
90,49.16010256410258 
100,44.16490476190475 
110,48.85749438202246 
120,48.77054761904762 
130,49.141895061728384 
140,50.0832121212121 
150,64.87595094339632 
160,77.24627083333327 
170,75.47609748427668 
180,1032.1068397129188 
190,2875.7167195945894 
200,3053.2502618657945 
210,1813.1525017889069 
220,1467.5581867881544 
230,1617.654639398998 
238,2007.5674483516482 
