time,session 
0,723.0910886313012 
10,591.3084608593747 
20,567.6573936403404 
30,542.7589663348056 
40,482.2658914872928 
50,539.8934441239564 
60,564.2924928497556 
70,560.3383786715626 
80,599.3612859967557 
90,566.7239441029386 
100,548.3848373904057 
110,582.2448639823606 
120,598.0476811586603 
130,584.028238101821 
140,564.189903236375 
150,599.1826896733027 
160,585.0172179679373 
170,562.3282974650338 
180,574.371343429984 
190,573.8912973611352 
200,606.3113959907295 
210,574.1587844444168 
220,588.7856153422041 
230,578.6479932025735 
240,883.6499785230498 
250,841.4340477406796 
260,851.2129776117182 
270,891.5736534206255 
280,803.1551709947958 
290,796.5507248949506 
300,822.1528172412033 
310,0 
320,0 
330,0 
340,0 
350,0 
353,0 
