time,size_sent,size_rcv 
0,5.61171875,61.7734375 
10,27.22421875,299.34921875 
20,46.2734375,507.7859375 
30,73.33984375,804.0609375 
40,103.03671875,1130.88046875 
50,133.5484375,1460.51953125 
60,188.31484375,2064.715625 
70,232.03203125,2542.2015625 
80,290.7921875,3184.11953125 
90,403.95390625,4428.9234375 
100,519.43046875,5689.43125 
110,624.62734375,6846.284375 
120,798.1515625,8751.5375 
130,1054.43046875,11560.44921875 
140,1322.14296875,14490.2734375 
150,1770.23984375,19394.9 
160,2237.76015625,24525.0578125 
170,2732.5890625,29950.7125 
180,3530.56796875,38699.6703125 
190,4516.034375,49490.2875 
200,5584.14375,61195.65 
210,7259.3109375,79563.6625 
220,9309.32734375,102022.0265625 
230,11167.27734375,122376.81875 
240,13877.11171875,148735.13828125 
250,17321.53828125,178350.75078125 
260,20749.0859375,207798.4328125 
270,25481.6265625,238634.3640625 
280,30776.17265625,270669.709375 
290,36079.36875,302567.8421875 
300,38310.7609375,320769.09453125 
310,38310.7609375,320769.09453125 
320,38310.7609375,320769.09453125 
330,38310.7609375,320769.09453125 
340,38310.7609375,320769.09453125 
350,38310.7609375,320769.09453125 
353,38310.7609375,320769.09453125 
