time,users_count,finish_users_count 
0,6,3 
10,19,17 
20,30,30 
30,48,45 
40,69,64 
50,86,82 
60,124,115 
70,150,143 
80,190,178 
90,266,244 
100,335,322 
110,399,388 
120,520,490 
130,679,649 
140,846,820 
150,1156,1081 
160,1436,1383 
170,1749,1685 
180,2285,2155 
190,2904,2772 
200,3577,3437 
210,4682,4430 
220,5972,5718 
230,7195,6930 
240,9334,8442 
250,11770,10886 
260,14240,13364 
270,18749,17373 
280,23939,22540 
290,29031,27557 
300,30092,30092 
310,30092,30092 
320,30092,30092 
330,30092,30092 
340,30092,30092 
350,30092,30092 
353,30092,30092 
