time,freemem@tsung_controller@ip-172-31-45-17 
0,659.72265625 
10,659.2734375 
20,658.89453125 
30,657.68359375 
40,656.24609375 
50,656.1015625 
60,656.10546875 
70,655.93359375 
80,656.17578125 
90,656.328125 
100,650.84765625 
110,650.9609375 
120,652.171875 
130,648.41796875 
140,647.703125 
150,647.30859375 
160,636.66015625 
170,641.69921875 
180,640.0078125 
190,617.625 
200,612.43359375 
210,611.94921875 
220,590.77734375 
230,583.76171875 
240,582.03125 
250,451.98828125 
260,452.34375 
270,442.63671875 
280,401.51171875 
290,401.6328125 
300,406.75390625 
310,548.1171875 
320,551.0234375 
330,551.32421875 
340,551.625 
350,559.6328125 
353,591.34375 
