time,load@tsung_controller@ip-172-31-45-17 
0,0.23828125 
10,0.19921875 
20,0.171875 
30,0.140625 
40,0.12109375 
50,0.1015625 
60,0.08984375 
70,0.0703125 
80,0.21875 
90,0.19140625 
100,0.16015625 
110,0.12890625 
120,0.109375 
130,0.1015625 
140,0.23046875 
150,0.19140625 
160,0.3984375 
170,0.421875 
180,0.359375 
190,0.30078125 
200,0.25 
210,0.2109375 
220,0.33984375 
230,0.2890625 
240,0.23828125 
250,0.3515625 
260,0.37890625 
270,0.3984375 
280,0.5703125 
290,0.48046875 
300,0.41015625 
310,0.48828125 
320,0.421875 
330,0.3515625 
340,0.30078125 
350,0.25 
353,0.2109375 
