time,connect,request 
0,1.109,7.791 
10,1.063,7.791 
20,1.063,6.49 
30,1.027,6.49 
40,1.027,6.49 
50,1.027,6.49 
60,1.026,6.322 
70,0.993,5.752 
80,0.993,5.631 
90,0.91,5.631 
100,0.91,5.631 
110,0.91,5.631 
120,0.91,5.631 
130,0.91,5.631 
140,0.91,5.572 
150,0.91,5.527 
160,0.904,5.457 
170,0.904,5.457 
180,0.843,5.457 
190,0.843,5.457 
200,0.776,5.457 
210,0.72,5.457 
220,0.718,5.457 
230,0.718,5.457 
240,0.715,5.457 
250,0.706,5.457 
260,0.706,5.457 
270,0.705,0.066 
280,0.686,0.058 
290,0.674,0.048 
300,0.671,0.048 
310,0.671,0.048 
320,0.671,0.048 
330,0.671,0.048 
340,0.671,0.048 
350,0.671,0.048 
352,0.671,0.048 
