time,connect,request 
0,0.8,3.8 
10,1,4.4 
20,1.2,6.8 
30,2.1,9.3 
40,2,10.6 
50,1.1,5.7 
60,4.4,20.2 
70,4.1,20.7 
80,3.7,19.1 
90,6.3,30.7 
100,8.7,41.6 
110,7.4,38.5 
120,15,71.6 
130,14.8,75.4 
140,15.3,72.3 
150,28.7,136.8 
160,30.7,153.4 
170,33.1,170.3 
180,54.9,259.2 
190,60.3,303.1 
200,63.2,313.4 
210,108.7,523.1 
220,126.8,625 
230,117,591.3 
240,207.8,985.3 
250,239.2,1202.1 
260,244.7,1212.8 
270,776,1993 
280,1104.5,2544.7 
290,1065.8,2552.3 
300,307,899 
310,0,0 
320,0,0 
330,0,0 
340,0,0 
350,0,0 
352,0,0 
