time,session 
0,2795.432 
10,2938.356 
20,2982.664 
30,3044.391 
40,3044.391 
50,3060.241 
60,3060.241 
70,3060.241 
80,3060.241 
90,3060.241 
100,3060.241 
110,3060.241 
120,3060.241 
130,3060.241 
140,3060.241 
150,3060.241 
160,3060.241 
170,3060.241 
180,3089.099 
190,3089.099 
200,3089.099 
210,3093.923 
220,3093.923 
230,3093.923 
240,3123.611 
250,3227.072 
260,3227.072 
270,5393.791 
280,5569.26 
290,5569.26 
300,5569.26 
310,5569.26 
320,5569.26 
330,5569.26 
340,5569.26 
350,5569.26 
352,5569.26 
