time,size_sent,size_rcv 
0,11.94140625,131.7671875 
10,13.60546875,149.6109375 
20,22.1453125,242.38046875 
30,29.26328125,317.6671875 
40,33.74140625,373.91484375 
50,18.27890625,200.09765625 
60,63.2828125,694.26875 
70,66.12734375,723.621875 
80,61.12890625,671.25703125 
90,97.3015625,1067.12421875 
100,131.7125,1443.5078125 
110,123.1109375,1349.65546875 
120,226.3328125,2477.15234375 
130,240.75078125,2640.84609375 
140,227.64921875,2497.45 
150,432.53359375,4736.584375 
160,488.625,5353.11328125 
170,544.36875,5973.7359375 
180,816.6046875,8954.90234375 
190,966.22265625,10584.94453125 
200,998.78828125,10921.9390625 
210,1652.421875,18136.8578125 
220,1985.6140625,21761.9234375 
230,1888.80390625,20676.0015625 
240,3107.29609375,34070.45234375 
250,3834.67734375,42010.51171875 
260,3858.428125,42234.9890625 
270,5669.93515625,48519.74609375 
280,6715.67109375,52040.36328125 
290,6743.996875,52338.63828125 
300,2561.5890625,25778.12578125 
310,0,0 
320,0,0 
330,0,0 
340,0,0 
350,0,0 
352,0,0 
