time,freemem@tsung_controller@ip-172-31-50-170 
0,675.1953125 
10,675.1953125 
20,675.1953125 
30,675.1953125 
40,675.1953125 
50,675.1953125 
60,675.1953125 
70,675.1953125 
80,675.1953125 
90,675.1953125 
100,675.1953125 
110,675.1953125 
120,675.1953125 
130,675.1953125 
140,675.1953125 
150,675.1953125 
160,675.1953125 
170,675.1953125 
180,675.1953125 
190,675.1953125 
200,675.1953125 
210,675.1953125 
220,675.1953125 
230,675.1953125 
240,675.1953125 
250,675.1953125 
260,675.1953125 
270,675.1953125 
280,675.1953125 
290,675.1953125 
300,675.1953125 
310,675.1953125 
320,675.1953125 
330,675.1953125 
340,675.1953125 
350,675.1953125 
352,675.1953125 
