time,freemem@tsung_controller@ip-172-31-50-170 
0,675.1953125 
10,674.5234375 
20,672.37890625 
30,671.18359375 
40,670.7890625 
50,670.7890625 
60,670.7890625 
70,667.26171875 
80,667.26171875 
90,667.26171875 
100,667.26171875 
110,667.05078125 
120,667.05078125 
130,665.37109375 
140,664.4921875 
150,663.1640625 
160,646.7578125 
170,641.33984375 
180,641.33984375 
190,634.8671875 
200,634.36328125 
210,618.76953125 
220,605.51171875 
230,595.1875 
240,595.1875 
250,542.65625 
260,538.265625 
270,537.25390625 
280,312.30859375 
290,312.30859375 
300,312.30859375 
310,312.30859375 
320,312.30859375 
330,312.30859375 
340,312.30859375 
350,312.30859375 
352,312.30859375 
