time,load@tsung_controller@ip-172-31-50-170 
0,0.05859375 
10,0.05859375 
20,0.05859375 
30,0.05859375 
40,0.05859375 
50,0.05859375 
60,0.05859375 
70,0.05859375 
80,0.05859375 
90,0.05859375 
100,0.05859375 
110,0.05859375 
120,0.05859375 
130,0.05859375 
140,0.05859375 
150,0.05859375 
160,0.05859375 
170,0.0703125 
180,0.140625 
190,0.140625 
200,0.140625 
210,0.23828125 
220,0.28125 
230,0.390625 
240,0.48828125 
250,0.48828125 
260,0.5703125 
270,0.62890625 
280,0.6796875 
290,0.80859375 
300,0.921875 
310,0.921875 
320,0.921875 
330,0.921875 
340,0.921875 
350,0.921875 
352,0.921875 
