time,session 
0,2070.255333333333 
10,2055.139111111111 
20,1790.168222222222 
30,2071.3684166666662 
40,2158.004294117647 
50,2114.2179999999994 
60,1981.1643214285718 
70,2227.8339347826077 
80,2214.1655652173904 
90,2111.7113818181824 
100,2133.5047866666678 
110,2092.4726969696953 
120,1996.599316326531 
130,2089.640017441858 
140,2043.9064931506848 
150,2025.83005882353 
160,2016.8587993197286 
170,2042.9264940119779 
180,2117.0562029288703 
190,2166.6136367851605 
200,2097.1809334470995 
210,3206.455619505495 
220,4140.481848760328 
230,4036.002199203185 
238,4168.885825028971 
