time,size_sent,size_rcv 
0,11.2203125,123.33125 
10,15.12109375,165.95625 
20,15.15,166.07578125 
30,17.515625,192.275 
40,28.63359375,314.19609375 
50,31.79375,347.30390625 
60,49.60546875,544.16953125 
70,73.26796875,803.0265625 
80,70.84609375,774.0109375 
90,91.96875,1009.66015625 
100,128.44296875,1409.5796875 
110,147.67265625,1617.56796875 
120,167.70234375,1840.653125 
130,275.2671875,3021.20703125 
140,230.98359375,2530.68359375 
150,408.70625,4462.375 
160,462.51953125,5086.6296875 
170,542.778125,5947.86015625 
180,810.77890625,8865.834375 
190,1012.80234375,11125.734375 
200,952.01171875,10420.82890625 
210,1379.80625,12892.0875 
220,1651.9828125,14129.72734375 
230,1668.7234375,14401.434375 
238,851.7046875,8694.165625 
