time,size_sent,size_rcv 
0,11.2203125,123.33125 
10,26.34140625,289.2875 
20,41.49140625,455.36328125 
30,59.00703125,647.63828125 
40,87.640625,961.834375 
50,119.434375,1309.13828125 
60,169.03984375,1853.3078125 
70,242.3078125,2656.334375 
80,313.15390625,3430.3453125 
90,405.12265625,4440.00546875 
100,533.565625,5849.58515625 
110,681.23828125,7467.153125 
120,848.940625,9307.80625 
130,1124.2078125,12329.01328125 
140,1355.19140625,14859.696875 
150,1763.89765625,19322.071875 
160,2226.4171875,24408.7015625 
170,2769.1953125,30356.56171875 
180,3579.97421875,39222.39609375 
190,4592.7765625,50348.13046875 
200,5544.78828125,60768.959375 
210,6924.59453125,73661.046875 
220,8576.57734375,87790.77421875 
230,10245.30078125,102192.20859375 
238,11097.00546875,110886.37421875 
