time,connect,request 
0,1.176,7.624 
10,1.115,7.582 
20,1.115,7.582 
30,1.07,7.512 
40,1.07,7.207 
50,1.07,7.207 
60,1.034,6.73 
70,1.034,6.197 
80,1.034,6.197 
90,0.988,6.197 
100,0.988,6.057 
110,0.969,5.536 
120,0.883,5.536 
130,0.883,5.294 
140,0.883,4.982 
150,0.883,4.982 
160,0.883,4.831 
170,0.883,4.831 
180,0.883,4.831 
190,0.883,4.831 
200,0.859,4.792 
210,0.732,4.584 
220,0.732,4.584 
230,0.723,4.584 
240,0.72,4.584 
250,0.708,4.584 
260,0.708,4.584 
270,0.689,0.861 
280,0.689,0.838 
290,0.684,0.838 
300,0.684,0.838 
310,0.684,0.838 
320,0.684,0.838 
330,0.684,0.838 
340,0.684,0.838 
350,0.684,0.838 
354,0.684,0.838 
