time,session 
0,2241.702428571429 
10,1874.7399090909091 
20,2334.58275 
30,2140.34175 
40,2183.6627333333336 
50,1897.017111111111 
60,2342.0303684210526 
70,2066.9858200000012 
80,2061.9012352941177 
90,2034.675672727273 
100,2095.0492133333337 
110,2052.8139176470595 
120,2014.3932148760318 
130,2086.6207083333347 
140,2108.7976012658223 
150,2073.1412335025375 
160,2126.1466709265183 
170,2102.7243433333338 
180,2054.0462082379877 
190,2051.6162557077655 
200,2066.405478056422 
210,2006.5790024330888 
220,2055.8347031382514 
230,2042.7428842024572 
240,2023.698538942575 
250,2086.735881584316 
260,2098.2996152219926 
270,2697.927078638494 
280,4017.357837657214 
290,4056.1644439934835 
300,4069.8401627460316 
310,0 
320,0 
330,0 
340,0 
350,0 
354,0 
