time,page 
0,47.47048972414883 
10,18.545185027116872 
20,33.75692914818092 
30,9.78734517534561 
40,6.919868408808435 
50,4.712927732163283 
60,4.690393649791027 
70,8.551827302451388 
80,6.149301944803763 
90,7.242497513197978 
100,7.622130382087413 
110,4.682461708879647 
120,7.641587957155469 
130,5.235537404396205 
140,5.508259844753881 
150,5.338163038796721 
160,6.204247946969463 
170,5.392201992064184 
180,6.893147264559622 
190,5.988125758072533 
200,6.858752351695495 
210,8.049567942062914 
220,7.6754859951597325 
230,8.281261272154358 
240,15.920618745012996 
250,14.100221050640586 
260,19.068835072749923 
270,568.9056389749726 
280,575.6366231371039 
290,563.549736438312 
300,577.3916191917385 
310,0 
320,0 
330,0 
340,0 
350,0 
354,0 
