time,users_count,finish_users_count 
0,1.1,0.7 
10,0.8,1.1 
20,0.8,0.8 
30,1.3,1.2 
40,1.8,1.5 
50,1.6,1.8 
60,2.2,1.9 
70,5.2,5 
80,3.5,3.4 
90,6.2,5.5 
100,8,7.5 
110,8.1,8.5 
120,13.9,12.1 
130,17,16.8 
140,15.7,15.8 
150,23.3,19.7 
160,30.7,31.3 
170,30.1,30 
180,53.5,43.7 
190,64,65.7 
200,61.3,63.8 
210,93.6,82.2 
220,121.3,117.9 
230,130.1,130.4 
240,202.3,175.9 
250,243.7,244.9 
260,236.9,236.5 
270,403.5,255.6 
280,507.9,508.8 
290,501.6,492.8 
300,208.4,416.6 
310,0,0 
320,0,0 
330,0,0 
340,0,0 
350,0,0 
354,0,0 
