time,users_count,finish_users_count 
0,11,7 
10,19,18 
20,27,26 
30,40,38 
40,58,53 
50,74,71 
60,96,90 
70,148,140 
80,183,174 
90,245,229 
100,325,304 
110,406,389 
120,545,510 
130,715,678 
140,872,836 
150,1105,1033 
160,1412,1346 
170,1713,1646 
180,2248,2083 
190,2888,2740 
200,3501,3378 
210,4437,4200 
220,5650,5379 
230,6951,6683 
240,8974,8442 
250,11411,10891 
260,13780,13256 
270,17815,15812 
280,22894,20900 
290,27910,25828 
300,29994,29994 
310,29994,29994 
320,29994,29994 
330,29994,29994 
340,29994,29994 
350,29994,29994 
354,29994,29994 
