time,freemem@tsung_controller@ip-172-31-53-64 
0,673.3515625 
10,671.65234375 
20,671.29296875 
30,671.29296875 
40,671.29296875 
50,670.6875 
60,670.6875 
70,670.6875 
80,663.86328125 
90,663.86328125 
100,661.13671875 
110,661.13671875 
120,661.13671875 
130,661.13671875 
140,658.94921875 
150,651.53125 
160,641.9765625 
170,641.9765625 
180,641.9765625 
190,617.6640625 
200,617.6640625 
210,617.6640625 
220,597.48828125 
230,586.10546875 
240,586.10546875 
250,533.74609375 
260,530.8515625 
270,530.8515625 
280,251.0703125 
290,211.8515625 
300,211.8515625 
310,211.8515625 
320,211.8515625 
330,211.8515625 
340,211.8515625 
350,211.8515625 
354,211.8515625 
