time,load@tsung_controller@ip-172-31-53-64 
0,0.171875 
10,0.171875 
20,0.171875 
30,0.171875 
40,0.171875 
50,0.171875 
60,0.171875 
70,0.171875 
80,0.171875 
90,0.171875 
100,0.171875 
110,0.171875 
120,0.171875 
130,0.171875 
140,0.171875 
150,0.171875 
160,0.171875 
170,0.171875 
180,0.171875 
190,0.171875 
200,0.171875 
210,0.171875 
220,0.171875 
230,0.21875 
240,0.33984375 
250,0.33984375 
260,0.33984375 
270,0.33984375 
280,0.33984375 
290,0.44140625 
300,0.58984375 
310,0.6484375 
320,0.6484375 
330,0.6484375 
340,0.6484375 
350,0.6484375 
354,0.6484375 
