time,load@tsung_controller@ip-172-31-53-64 
0,0.171875 
10,0.140625 
20,0.12109375 
30,0.1015625 
40,0.078125 
50,0.0703125 
60,0.05859375 
70,0.05078125 
80,0.0390625 
90,0.03125 
100,0.109375 
110,0.08984375 
120,0.078125 
130,0.0703125 
140,0.05859375 
150,0.05078125 
160,0.0390625 
170,0.03125 
180,0.03125 
190,0.01953125 
200,0.1015625 
210,0.078125 
220,0.0703125 
230,0.21875 
240,0.33984375 
250,0.2890625 
260,0.23828125 
270,0.19921875 
280,0.328125 
290,0.44140625 
300,0.58984375 
310,0.6484375 
320,0.55078125 
330,0.4609375 
340,0.390625 
350,0.328125 
354,0.28125 
