time,load@tsung_controller@ip-172-31-53-64 
0,0.171875 
10,0.140625 
20,0.12109375 
30,0.1015625 
40,0.078125 
50,0.0703125 
60,0.05859375 
70,0.05078125 
80,0.0390625 
90,0.03125 
100,0.03125 
110,0.03125 
120,0.03125 
130,0.03125 
140,0.03125 
150,0.03125 
160,0.03125 
170,0.03125 
180,0.03125 
190,0.01953125 
200,0.01953125 
210,0.01953125 
220,0.01953125 
230,0.01953125 
240,0.01953125 
250,0.01953125 
260,0.01953125 
270,0.01953125 
280,0.01953125 
290,0.01953125 
300,0.01953125 
310,0.01953125 
320,0.01953125 
330,0.01953125 
340,0.01953125 
350,0.01953125 
354,0.01953125 
