time,freemem@tsung_controller@ip-172-31-50-238 
0,678.50390625 
10,678.50390625 
20,678.50390625 
30,678.50390625 
40,678.50390625 
50,678.50390625 
60,678.50390625 
70,678.50390625 
80,678.50390625 
90,678.50390625 
100,678.50390625 
110,678.50390625 
120,678.50390625 
130,678.50390625 
140,678.50390625 
150,678.50390625 
160,678.50390625 
170,678.50390625 
180,678.50390625 
190,678.50390625 
200,678.50390625 
210,678.50390625 
220,678.50390625 
230,678.50390625 
240,678.50390625 
242,678.50390625 
