time,session 
0,1947.8321538461535 
10,2321.0358 
20,2229.763166666666 
30,2018.5322000000003 
40,2275.7543888888886 
50,2021.3203529411762 
60,1843.1713333333332 
70,1977.2137021276599 
80,2134.2962325581393 
90,2067.256354166666 
100,1993.3847500000006 
110,2016.475987951808 
120,2027.1314786324785 
130,1990.6147083333335 
140,2079.620261744968 
150,2113.9915276595725 
160,2087.743000000002 
170,2128.790167224082 
180,3078.5386167664687 
190,4988.132742496047 
200,5024.020725581396 
210,3966.9377690742544 
