time,session 
0,521.9423561506866 
10,562.3041101277493 
20,580.9557389775681 
30,584.225835402167 
40,559.773141413966 
50,497.93469690204785 
60,493.4878810637274 
70,536.7112932352078 
80,596.264125312742 
90,629.1429402438253 
100,571.8269025677988 
110,561.9582327556626 
120,576.8544964405396 
130,597.0830638822478 
140,588.6676418214292 
150,559.8104797572674 
160,584.9063915465393 
170,577.5731450212731 
180,1091.0321644352875 
190,1268.7963820691143 
200,1358.5312054135925 
210,1503.995134213128 
