time,size_sent,size_rcv 
0,22.23671875,230.109375 
10,11.56484375,119.86796875 
20,15.33671875,158.77421875 
30,18.384375,191.55859375 
40,28.34296875,291.515625 
50,29.4515625,306.63046875 
60,58.309375,603.640625 
70,76.25546875,790.75 
80,66.6765625,690.23828125 
90,85.5375,886.4359375 
100,136.70390625,1415.84140625 
110,133.98125,1385.84453125 
120,202.8484375,2108.3421875 
130,238.4828125,2469.44765625 
140,246.4984375,2553.0734375 
150,403.965625,4183.38203125 
160,522.546875,5399.7421875 
170,481.7515625,5006.47890625 
180,723.55546875,6922.7 
190,921.1296875,7901.04375 
200,928.0734375,7875.88515625 
210,1209.71328125,8156.20625 
