time,session 
0,2253.061727272727 
10,2264.899857142857 
20,2511.9750000000004 
30,2477.042571428571 
40,2213.0253 
50,2562.876823529412 
60,2266.049541666667 
70,2546.3318108108106 
80,2724.026784313726 
90,3062.954678571429 
100,7735.289894736842 
110,11696.757898305079 
120,15327.143054054053 
130,11036.404286764711 
140,12944.461834355829 
150,11967.152099999994 
160,9013.173365591409 
170,8325.97610658307 
180,6685.304038383843 
190,4993.323704581363 
200,5014.645504615389 
210,4381.337047268911 
220,3523.1526930612217 
230,3576.0660859504146 
240,4765.905017713363 
248,12113.376084745769 
