time,page 
0,156.86086962277108 
10,129.42725644836008 
20,146.78628215956522 
30,137.2811840541891 
40,120.00775125660337 
50,125.44821537410135 
60,131.09532193330878 
70,128.66720236966154 
80,125.44509152253121 
90,130.7949670984808 
100,136.95480753299944 
110,143.20725415786904 
120,246.00563527198332 
130,170.78156506622557 
140,169.7431124275037 
150,752.5367502474587 
160,2324.8034192127484 
170,3379.2830826313407 
180,3238.8800597042286 
190,2494.001052422923 
200,2562.7605330895767 
210,2146.159679162733 
220,1786.1332196106398 
230,1623.6926050001073 
240,2112.940558568396 
242,2.7805 
