time,freemem@tsung_controller@ip-172-31-45-17 
0,665.23828125 
10,665.23828125 
20,665.23828125 
30,665.23828125 
40,665.23828125 
50,665.23828125 
60,665.23828125 
70,665.23828125 
80,665.23828125 
90,665.23828125 
100,665.23828125 
110,665.23828125 
120,665.23828125 
130,665.23828125 
140,665.23828125 
150,665.23828125 
160,665.23828125 
170,665.23828125 
180,665.23828125 
190,665.23828125 
200,665.23828125 
210,665.23828125 
220,665.23828125 
230,665.23828125 
240,665.23828125 
242,665.23828125 
