time,session 
0,2262.471571428571 
10,2269.4833333333336 
20,2473.0195 
30,2169.894307692308 
40,2077.1888333333336 
50,2283.7435909090914 
60,2437.363761904762 
70,2194.749971428572 
80,2276.9849999999988 
90,2237.6717755102036 
100,2415.950246913581 
110,2321.0943661971837 
120,2306.153720338982 
130,2337.3843452380956 
140,2366.3058141025654 
150,2524.511931034481 
160,2491.6992280701747 
170,2441.4675592105255 
180,3041.2720205761325 
190,7817.610272171258 
200,10654.703191626402 
210,10112.806620185926 
220,7433.916554945059 
230,6853.818837320596 
240,7789.256181675803 
245,8541.837425925929 
