time,size_sent,size_rcv 
0,31.39765625,206.89375 
10,26.32421875,164.87734375 
20,26.15625,172.92109375 
30,61.69375,411.3171875 
40,73.9125,469.3140625 
50,80.32734375,499.9921875 
60,102.71015625,692.23515625 
70,145.3375,954.12734375 
80,116.75390625,712.4484375 
90,248.69609375,1680.70703125 
100,320.57734375,2048.0671875 
110,276.48125,1756.7515625 
120,540.57109375,3600.02890625 
130,642.6765625,4065.06328125 
140,649.2390625,4180.61171875 
150,942.9546875,6239.17578125 
160,1366.29140625,8798.271875 
170,1190.42109375,7562.04140625 
180,1459.384375,8659.67578125 
190,1942.4953125,10561.903125 
200,2357.184375,13713.503125 
210,2861.41875,12889.09375 
220,3790.90078125,13813.5515625 
230,3529.67890625,13154.0203125 
240,2817.95859375,15939.68828125 
245,116.9578125,191.4734375 
