time,connect,request 
0,14.966,264.914 
10,14.966,264.914 
20,14.966,264.914 
30,14.966,264.914 
40,14.966,264.914 
50,14.966,264.914 
60,14.966,264.914 
70,14.966,317.004 
80,14.966,317.004 
90,14.966,317.004 
100,14.966,317.004 
110,14.966,317.004 
120,14.966,317.004 
130,14.966,317.004 
140,14.966,317.004 
150,14.966,524.126 
160,14.966,600.426 
170,14.966,600.426 
180,22.019,3214.348 
190,22.019,3325.761 
200,22.019,4129.305 
210,22.019,4844.454 
220,22.019,4844.454 
230,22.019,4844.454 
240,22.019,4952.694 
250,22.019,4952.694 
260,22.019,4952.694 
270,22.019,4952.694 
280,22.019,4952.694 
290,22.019,4952.694 
292,22.019,4952.694 
