time,session 
0,638.1028085649917 
10,562.1872910571597 
20,464.1062737181667 
30,597.3092656214118 
40,568.2444551365671 
50,525.136510620206 
60,600.1268017658795 
70,579.3447873462673 
80,576.2777930648865 
90,585.1963523072445 
100,592.3432219947075 
110,559.413376899481 
120,602.3417129914675 
130,575.1351073946059 
140,537.1133927786427 
150,562.6151856296698 
160,573.4774711536127 
170,599.5138216476306 
180,1577.0850639810783 
190,1892.0280240951681 
200,1931.2920382560312 
210,6011.045079536741 
220,5433.808192559553 
230,4574.192531410847 
240,3585.9911678288086 
250,0 
260,0 
270,0 
280,0 
290,0 
292,0 
