time,size_sent,size_rcv 
0,33.94375,269.18515625 
10,72.67421875,581.6484375 
20,108.696875,845.33984375 
30,200.26015625,1599.6046875 
40,291.040625,2283.23828125 
50,363.8125,2831.59921875 
60,478.67109375,3753.796875 
70,633.76484375,4966.89296875 
80,811.953125,6345.66953125 
90,1088.884375,8554.571875 
100,1435.08984375,11220.6984375 
110,1769.59921875,13842.41953125 
120,2359.02265625,18479.290625 
130,2936.109375,22954.353125 
140,3541.82890625,27713.52734375 
150,4719.634375,37040.153125 
160,5913.01796875,46298.96640625 
170,7094.3671875,55611.134375 
180,8652.64921875,66717.56328125 
190,10338.871875,79013.7734375 
200,12057.83828125,91109.3671875 
210,15683.08984375,106259.1453125 
220,19449.8984375,122232.534375 
230,23197.79765625,138715.259375 
240,25726.00546875,159109.13984375 
250,25759.315625,159234.93125 
260,25759.315625,159234.93125 
270,25759.315625,159234.93125 
280,25759.315625,159234.93125 
290,25759.315625,159234.93125 
292,25759.315625,159234.93125 
