time,freemem@tsung_controller@ip-172-31-53-64 
0,669.66015625 
10,670.62109375 
20,670.62109375 
30,672.3984375 
40,672.3984375 
50,678.0234375 
60,679.17578125 
70,679.17578125 
80,679.17578125 
90,679.17578125 
100,679.17578125 
110,679.17578125 
120,679.17578125 
130,679.17578125 
140,679.17578125 
150,679.17578125 
160,679.17578125 
170,679.17578125 
180,679.17578125 
190,679.17578125 
200,679.17578125 
210,679.17578125 
220,679.17578125 
230,679.17578125 
240,679.17578125 
250,679.17578125 
260,679.17578125 
270,679.17578125 
280,679.17578125 
290,679.17578125 
292,679.17578125 
