time,freemem@tsung_controller@ip-172-31-53-64 
0,669.66015625 
10,670.62109375 
20,670.09765625 
30,672.3984375 
40,669.75 
50,678.0234375 
60,679.17578125 
70,673.38671875 
80,674.11328125 
90,671.953125 
100,664.7109375 
110,664.62890625 
120,662.43359375 
130,639.16796875 
140,649.0 
150,640.35546875 
160,610.56640625 
170,611.03125 
180,607.91015625 
190,501.80078125 
200,396.48046875 
210,289.84765625 
220,277.91015625 
230,278.38671875 
240,286.0078125 
250,560.89453125 
260,581.30859375 
270,581.80859375 
280,597.73046875 
290,598.34375 
292,598.62890625 
