time,freemem@tsung_controller@ip-172-31-53-64 
0,669.66015625 
10,669.66015625 
20,669.66015625 
30,669.66015625 
40,669.66015625 
50,669.66015625 
60,669.66015625 
70,669.66015625 
80,669.66015625 
90,669.66015625 
100,664.7109375 
110,664.62890625 
120,662.43359375 
130,639.16796875 
140,639.16796875 
150,639.16796875 
160,610.56640625 
170,610.56640625 
180,607.91015625 
190,501.80078125 
200,396.48046875 
210,289.84765625 
220,277.91015625 
230,277.91015625 
240,277.91015625 
250,277.91015625 
260,277.91015625 
270,277.91015625 
280,277.91015625 
290,277.91015625 
292,277.91015625 
