time,session 
0,2340.35675 
10,2289.092272727273 
20,2515.1253 
30,2357.946571428572 
40,2285.6200416666657 
50,2620.4608461538464 
60,2515.412083333334 
70,2548.9629333333332 
80,2984.660275 
90,3672.310363636364 
100,10438.813944444444 
110,17771.566622641505 
120,18264.038322033903 
130,10748.951196319022 
140,13716.875566666662 
150,12108.263966666667 
160,8653.963410596023 
170,8670.8561826923 
180,6605.446706004146 
190,5207.051908346972 
200,5283.311512000003 
210,4174.5194482758625 
220,3718.828138953944 
230,3417.7697614896997 
240,4830.8716140065135 
248,12684.756911111113 
