time,session 
0,435.8643327888135 
10,590.8324452360862 
20,586.8143267555847 
30,457.05636841371177 
40,615.0458795212272 
50,523.9500539999893 
60,542.9925800021671 
70,797.4792097643508 
80,903.3937845980287 
90,1279.6227974378564 
100,2994.027281308766 
110,1717.5067022559792 
120,6126.674349913121 
130,9536.568942616734 
140,9939.832528133076 
150,10747.95894806888 
160,8362.960973069597 
170,8383.777879739228 
180,7202.481893007237 
190,5306.454223875397 
200,5389.872285409378 
210,4237.864462451793 
220,3398.5960076353454 
230,2938.0458590332696 
240,3940.0652806356484 
248,2574.6473797793296 
