time,size_sent,size_rcv 
0,44.4515625,304.6875 
10,81.47578125,518.465625 
20,120.31171875,774.47734375 
30,188.96484375,1234.92421875 
40,279.965625,1808.340625 
50,334.58203125,2168.04296875 
60,454.19453125,2920.153125 
70,625.940625,4030.50859375 
80,779.28359375,5014.07734375 
90,942.1296875,5856.76875 
100,1163.8140625,7215.303125 
110,1429.06015625,8855.74765625 
120,1691.75,10094.3328125 
130,2144.50390625,11584.24296875 
140,2604.21640625,13485.40078125 
150,3089.078125,15221.665625 
160,3697.89140625,17103.58984375 
170,4355.4546875,19007.95234375 
180,5224.5828125,21455.4625 
190,6206.29375,24071.27421875 
200,7273.84296875,26998.06640625 
210,8792.871875,30647.11875 
220,10644.6109375,35102.39140625 
230,12391.61640625,39294.7734375 
240,13110.96484375,42204.33203125 
248,13234.159375,42956.74921875 
