time,session 
0,4486.657666666666 
10,5572.636125000001 
20,5456.32075 
30,6068.252249999999 
40,5865.462166666667 
50,5891.04990909091 
60,5803.86095 
70,5767.741731707316 
80,5879.674476190478 
90,5595.999309523809 
100,5739.23475 
110,5945.530499999999 
120,5656.156298850578 
130,5832.236266272191 
140,5762.826324999997 
150,6496.8049130434765 
160,10770.35390751446 
170,14087.11492195121 
180,15454.207692052982 
190,12470.881485893426 
200,11914.69858937198 
210,10560.81265661861 
220,8612.253581860103 
230,8540.775754925118 
240,8786.909038805965 
250,9571.934029411765 
260,0 
270,0 
280,0 
290,0 
292,0 
