time,size_sent,size_rcv 
0,16.4375,47.36015625 
10,54.165625,158.8828125 
20,72.41796875,202.5296875 
30,123.709375,339.7984375 
40,205.28515625,563.7265625 
50,303.8390625,847.32734375 
60,395.18671875,1091.2875 
70,586.93203125,1639.93515625 
80,755.1859375,2081.63515625 
90,965.14296875,2717.16484375 
100,1284.74375,3576.70078125 
110,1598.53359375,4432.24609375 
120,2033.5671875,5667.034375 
130,2748.80078125,7636.3640625 
140,3434.7875,9517.51015625 
150,4184.828125,11656.21171875 
160,5253.03125,14749.03984375 
170,6289.8375,17630.359375 
180,7705.215625,20520.0296875 
190,10001.79140625,24807.78671875 
200,12216.18671875,29310.68515625 
210,14976.4765625,34053.5546875 
220,18673.47578125,39843.81796875 
230,22342.4703125,45533.59765625 
240,25717.41015625,52868.2765625 
250,25854.7734375,53058.08046875 
260,25854.7734375,53058.08046875 
270,25854.7734375,53058.08046875 
280,25854.7734375,53058.08046875 
290,25854.7734375,53058.08046875 
292,25854.7734375,53058.08046875 
