time,page 
0,93.82070292685805 
10,85.7462521599487 
20,98.67036720238022 
30,109.25124709594017 
40,89.51574188765167 
50,84.99014531524094 
60,96.69306250877821 
70,86.85050667717668 
80,86.91422458766921 
90,99.86732012249142 
100,90.45516791709497 
110,92.86968088763517 
120,104.162030552676 
130,105.13494809723696 
140,107.95891809995085 
150,520.2279504068161 
160,1192.3944597176098 
170,1518.194816910308 
180,2226.246652841349 
190,2064.4811024579653 
200,1734.1820237340035 
210,1522.0570520237734 
220,1296.612356698355 
230,1247.104260967058 
240,1227.3987693127253 
250,6.101151636174265 
260,0 
270,0 
280,0 
290,0 
292,0 
