time,freemem@tsung_controller@ip-172-31-45-17 
0,655.2734375 
10,655.2734375 
20,655.2734375 
30,655.2734375 
40,655.2734375 
50,655.2734375 
60,655.2734375 
70,655.2734375 
80,655.2734375 
90,655.2734375 
100,655.2734375 
110,655.2734375 
120,655.2734375 
130,655.2734375 
140,655.2734375 
150,655.2734375 
160,655.2734375 
170,655.2734375 
180,655.2734375 
190,655.2734375 
200,655.2734375 
210,655.2734375 
220,655.2734375 
230,655.2734375 
240,655.2734375 
250,655.2734375 
260,655.2734375 
270,655.2734375 
280,655.2734375 
290,655.2734375 
292,655.2734375 
