time,connect,request 
0,11.845,225.728 
10,11.845,227.783 
20,11.845,227.783 
30,11.845,227.783 
40,11.845,229.259 
50,11.845,241.102 
60,21.035,241.102 
70,21.035,241.102 
80,21.035,241.102 
90,21.035,241.102 
100,21.035,241.102 
110,21.035,241.102 
120,21.204,245.43 
130,21.204,248.47 
140,21.204,460.646 
150,29.101,460.646 
160,29.101,544.607 
170,29.101,544.607 
180,29.101,2043.533 
190,38.447,2915.628 
200,38.447,3473.969 
210,38.447,3473.969 
220,38.447,3557.468 
230,38.447,3557.468 
240,38.447,3557.468 
250,38.447,3557.468 
260,38.447,3557.468 
270,38.447,3557.468 
280,38.447,3557.468 
290,38.447,3557.468 
293,38.447,3557.468 
