time,connect,request 
0,1.173,6.489 
10,1.067,5.581 
20,1.067,5.321 
30,1.067,5.321 
40,1.028,5.215 
50,1.026,5.215 
60,1.026,5.199 
70,0.935,5.012 
80,0.935,5.012 
90,0.935,5.012 
100,0.935,4.898 
110,0.935,4.898 
120,0.934,4.898 
130,0.933,4.842 
140,0.933,4.842 
150,0.933,4.842 
160,0.917,4.842 
170,0.908,4.842 
180,0.892,4.842 
190,0.727,0.317 
200,0.683,0.078 
210,0.681,0.061 
220,0.681,0.051 
230,0.681,0.051 
240,0.681,0.051 
250,0.681,0.051 
260,0.681,0.051 
270,0.681,0.051 
280,0.681,0.051 
290,0.681,0.051 
293,0.681,0.051 
