time,session 
0,1182.8239999999998 
10,599.3217795782206 
20,571.7898329293378 
30,812.9917571883755 
40,1226.538365974159 
50,1019.8141512503724 
60,895.80334480122 
70,1052.3885435248485 
80,1055.3309250555105 
90,927.8208271070528 
100,1015.2494461054612 
110,1070.6028959345063 
120,1002.6913763702895 
130,979.9869294525429 
140,967.8782858921145 
150,1099.625661340548 
160,1003.5235657911538 
170,994.5394035329914 
180,1347.1089702442775 
190,1990.8557501139503 
200,2452.974422906126 
210,3619.4682027328486 
220,3856.1192350587953 
230,3351.837132495961 
240,2999.963151725164 
250,1011.6289863057807 
260,0 
270,0 
280,0 
290,0 
293,0 
