time,freemem@tsung_controller@ip-172-31-50-170 
0,733.40234375 
10,730.58984375 
20,730.11328125 
30,730.11328125 
40,728.98828125 
50,728.98828125 
60,728.98828125 
70,728.98828125 
80,728.5625 
90,728.5625 
100,725.53515625 
110,723.0390625 
120,719.65234375 
130,708.03125 
140,708.03125 
150,707.80078125 
160,676.796875 
170,645.734375 
180,645.734375 
190,607.73046875 
200,535.29296875 
210,489.765625 
220,478.45703125 
230,446.6953125 
240,446.6953125 
250,446.6953125 
260,446.6953125 
270,446.6953125 
280,446.6953125 
290,446.6953125 
293,446.6953125 
