time,session 
0,4910.157000000001 
10,5563.0375 
20,6003.074933333333 
30,5949.763571428572 
40,5800.115466666667 
50,6189.171899999999 
60,5910.812388888889 
70,6454.664500000001 
80,6016.865499999999 
90,5996.025745098036 
100,5967.415536082474 
110,6059.426756756758 
120,7444.746790697676 
130,13525.572222222221 
140,18091.59655 
150,18992.92841573033 
160,15029.904163333329 
170,13901.274889250804 
180,12402.076074168801 
190,10113.241176380376 
200,9469.977511041005 
210,8482.227280788187 
220,7783.627705451581 
230,7747.464125907995 
240,8211.584857677904 
247,10759.738034482758 
