time,page 
0,91.17209090909093 
10,83.33367441860464 
20,72.58944230769234 
30,91.89545652173915 
40,83.46451470588237 
50,84.43593827160491 
60,86.58954022988506 
70,81.90412837837839 
80,86.52560447761198 
90,109.35581781376519 
100,110.35400276243101 
110,159.98047222222226 
120,879.9106153846161 
130,2462.991129787236 
140,3583.5165264270654 
150,2730.5084983748625 
160,2262.3675996771585 
170,1918.4314785772021 
180,1357.781178444334 
190,1042.1890492248078 
200,1010.3260375586847 
210,608.2618830022099 
220,544.313774673367 
230,530.4082233691117 
240,1002.9006920017665 
247,39.91634 
