time,page 
0,94.0046918876969 
10,90.40519640851093 
20,80.7308722307104 
30,95.76298119512856 
40,89.90211236288393 
50,91.83844170860766 
60,92.52887355615118 
70,87.668102525044 
80,93.0575114207401 
90,111.38667950457933 
100,121.06081704998273 
110,178.674473806458 
120,896.827172724137 
130,1622.28370513217 
140,2228.6177187199396 
150,3141.8720142145503 
160,3070.7439946539057 
170,2295.7740003515737 
180,2301.405232179495 
190,1804.925478202203 
200,1660.8227711716315 
210,1421.3221711456536 
220,1217.7016143520707 
230,1111.0518111759295 
240,1381.6217745918377 
247,8.249803126402472 
