time,session 
0,6376.2315 
10,5472.285099999999 
20,5809.802 
30,5491.701277777777 
40,5838.601944444445 
50,5647.384105263159 
60,5594.206000000001 
70,5809.8966595744705 
80,6129.672361111111 
90,6152.616216216216 
100,6058.277064516132 
110,5835.484053571427 
120,5802.277933333333 
130,5751.401315476189 
140,5661.348762237756 
150,5744.5638936170235 
160,5836.156179810724 
170,5822.150460784318 
180,6655.2511422222215 
190,11446.97967873304 
200,17447.893828897344 
210,19948.296318634424 
220,15432.637078073118 
230,13917.200974837662 
240,13839.36018559902 
