time,connect,request 
0,14.823,321.047 
10,14.823,321.047 
20,14.823,321.047 
30,14.823,321.047 
40,14.823,321.047 
50,14.823,321.047 
60,25.79,321.047 
70,25.79,321.047 
80,25.79,321.047 
90,25.79,321.047 
100,25.79,396.456 
110,25.79,396.456 
120,25.983,396.456 
130,25.983,396.456 
140,25.983,490.052 
150,25.983,574.188 
160,25.983,574.188 
170,25.983,574.188 
180,25.983,1724.746 
190,25.983,3955.845 
200,25.983,4225.88 
210,25.983,5023.506 
220,25.983,5023.506 
230,25.983,5023.506 
240,25.983,5023.506 
