time,session 
0,649.1315000000002 
10,998.0352466371564 
20,691.7879750928023 
30,1025.878283242749 
40,1051.9093574263723 
50,933.1305017219072 
60,899.8381165337728 
70,1127.6792230333394 
80,865.1057979371384 
90,1153.832402614731 
100,1107.421911910109 
110,1084.378528996372 
120,994.0566496070622 
130,1094.1206516206785 
140,1068.2448657376774 
150,1038.7352296228053 
160,1099.953037503741 
170,1097.0757696047058 
180,1448.9852165741 
190,2127.6202612457114 
200,2160.929216024795 
210,3871.00289765945 
220,5731.721597279673 
230,4578.287119997633 
240,4080.9534411313307 
