time,size_sent,size_rcv 
0,12.07734375,50.66171875 
10,53.69921875,236.68671875 
20,86.52578125,378.37734375 
30,164.1796875,716.153125 
40,247.65546875,1062.1875 
50,328.3765625,1402.54296875 
60,446.465625,1952.3859375 
70,649.35546875,2779.3484375 
80,814.59140625,3492.9671875 
90,988.21953125,4242.871875 
100,1248.53203125,5331.3609375 
110,1513.325,6463.44140625 
120,1968.96171875,8452.375 
130,2680.0921875,11446.03515625 
140,3342.56875,14274.9703125 
150,4258.26484375,18254.821875 
160,5635.734375,24068.15078125 
170,6989.80234375,29822.39609375 
180,8468.59921875,36159.19140625 
190,10230.54921875,43716.09375 
200,12194.75078125,51372.56171875 
210,15477.39453125,60094.36484375 
220,20008.23046875,70339.15234375 
230,24524.92890625,81195.17578125 
240,28645.3421875,95917.42421875 
