time,connect,request 
0,13.184,260.961 
10,13.184,333.075 
20,13.184,333.075 
30,13.184,333.075 
40,13.184,604.608 
50,13.184,1048.242 
60,13.184,1048.242 
70,13.184,1048.242 
80,13.184,1055.612 
90,13.184,1407.575 
100,13.184,3508.13 
110,13.184,5044.131 
120,24.315,6248.927 
130,24.315,8756.167 
140,24.315,9354.475 
150,24.315,9354.475 
160,24.315,9354.475 
170,24.315,9354.475 
180,24.315,9354.475 
190,24.315,9354.475 
200,24.315,9354.475 
210,1028.077,9354.475 
220,1032.039,9354.475 
230,1032.039,9354.475 
240,1032.039,9354.475 
249,1032.039,9354.475 
