time,size_sent,size_rcv 
0,17.76796875,1257.41171875 
10,52.68984375,3531.50859375 
20,54.70078125,2543.603125 
30,20.04609375,1011.82421875 
40,104.88671875,5836.8 
50,122.06171875,8307.2203125 
60,60.38046875,2313.61015625 
70,172.4109375,10611.58125 
80,184.3375,10874.79609375 
90,169.05078125,8873.80390625 
100,159.59765625,12317.18828125 
110,155.0453125,11302.08984375 
120,246.753125,12380.540625 
130,414.48125,7337.58984375 
140,501.28046875,14605 
150,538.95234375,14447.72890625 
160,744.6875,13721.18203125 
170,754.19921875,15942.33984375 
180,865.37578125,12407.57421875 
190,1243.7046875,16170.87578125 
200,1211.5296875,15674.8671875 
210,1529.0796875,14130.0546875 
220,2207.13046875,16656.29609375 
230,2120.4671875,20965.64375 
240,1553.82421875,17423.71796875 
249,425.71953125,10785.3765625 
