time,size_sent,size_rcv 
0,17.76796875,1257.41171875 
10,70.4578125,4788.9203125 
20,125.15859375,7332.5234375 
30,145.2046875,8344.34765625 
40,250.09140625,14181.14765625 
50,372.153125,22488.36796875 
60,432.53359375,24801.978125 
70,604.94453125,35413.559375 
80,789.28203125,46288.35546875 
90,958.3328125,55162.159375 
100,1117.93046875,67479.34765625 
110,1272.97578125,78781.4375 
120,1519.72890625,91161.978125 
130,1934.21015625,98499.56796875 
140,2435.490625,113104.56796875 
150,2974.44296875,127552.296875 
160,3719.13046875,141273.47890625 
170,4473.3296875,157215.81875 
180,5338.70546875,169623.39296875 
190,6582.41015625,185794.26875 
200,7793.93984375,201469.1359375 
210,9323.01953125,215599.190625 
220,11530.15,232255.48671875 
230,13650.6171875,253221.13046875 
240,15204.44140625,270644.8484375 
249,15630.1609375,281430.225 
